PLD,LCD,LCD/PLD,SA,Porosity,PV,C%,H%,N%,O%,Metal %,Halogen %,TDU,KCH4,NCH4 1 Bar (mol/kg)
4.89301,7.12611,1.456385742,359.997,0.42696,0.215210291,26.96629213,33.70786517,6.741573034,26.96629213,5.617977528,0,325,0.00001494,0.441182518
4.85632,5.15455,1.061410698,290.49,0.42748,0.218491089,46.34146341,14.63414634,0,19.51219512,4.87804878,14.63414634,1537,5.89E-06,0.252920734
5.31262,5.94406,1.118856609,1676.32,0.585,0.631851129,50.90909091,36.36363636,3.636363636,7.272727273,1.818181818,0,721,4.28E-05,1.606857295
4.38484,5.04792,1.151221025,637.477,0.50342,0.385830453,35.05154639,35.05154639,8.24742268,14.43298969,3.092783505,0,409,3.79E-05,1.069542226
5.98269,11.92678,1.993548053,3595.66,0.7674,1.180669877,52,16,4,24,4,0,529,1.17E-05,0.512441046
5.8094,8.58065,1.477028609,3829.97,0.74696,1.071239061,52,16,4,24,4,0,705,9.24E-06,0.446347967
14.56862,19.86541,1.363575273,5239.57,0.8979,3.268954219,44.11764706,30.88235294,8.823529412,13.97058824,2.205882353,0,469,5.80E-06,0.288426525
7.13825,18.06508,2.53074353,3583.27,0.78558,1.307595767,44,24,8,20,4,0,385,8.67E-06,0.416991945
7.10984,18.20917,2.561122332,3616.43,0.7878,1.330574674,44,24,8,20,4,0,385,8.57E-06,0.41512228
3.91412,6.17139,1.576699233,348.73,0.47888,0.334268683,38.24701195,19.52191235,19.12350598,18.32669323,4.780876494,0,573,7.99E-06,0.375776703
5.01976,7.8603,1.565871675,1872.41,0.63848,0.651621246,44.73684211,26.31578947,0,23.68421053,5.263157895,0,577,8.84E-06,0.424602179
5.75713,6.38387,1.10886327,836.806,0.56368,0.42108094,42.5,25,0,25,7.5,0,769,1.55E-06,0.077205845
5.21411,9.3993,1.802666227,1734.94,0.65336,0.7249519,49.6350365,27.73722628,2.919708029,17.51824818,2.189781022,0,1177,9.67E-06,0.447101638
5.599,9.32283,1.665088409,1886.63,0.66208,0.703914333,51.5625,24.21875,2.34375,18.75,3.125,0,1213,8.42E-06,0.399524924
5.12412,6.86569,1.339876896,763.837,0.52398,0.439694887,45.71428571,22.85714286,0,25.71428571,5.714285714,0,769,1.38E-06,0.067837956
5.02701,7.87306,1.566151649,1814.29,0.62718,0.698071227,43.38624339,38.0952381,2.645502646,14.28571429,1.587301587,0,1105,1.20E-05,0.545247229
4.84057,5.59976,1.156838967,802.013,0.57368,0.384617448,31.74603175,22.22222222,12.6984127,3.174603175,11.11111111,19.04761905,209,2.07E-06,0.098403596
6.77342,8.54387,1.26138199,5152.82,0.78994,1.393388838,48.8372093,27.90697674,6.976744186,13.95348837,2.325581395,0,241,6.92E-06,0.346453973
6.76817,8.54787,1.262951433,5042.3,0.78954,1.361419046,48.8372093,27.90697674,6.976744186,13.95348837,2.325581395,0,241,6.81E-06,0.33915102
6.74275,8.53005,1.26506989,4965.77,0.78896,1.335163282,48.8372093,27.90697674,6.976744186,13.95348837,2.325581395,0,241,6.82E-06,0.336498955
13.37911,18.75501,1.401812976,3444.39,0.83558,1.961704066,49.12280702,28.07017544,7.01754386,14.03508772,1.754385965,0,241,4.01E-06,0.199219459
5.66314,6.60314,1.165985655,524.815,0.44294,0.296779208,40,24,16,16,4,0,757,2.86E-05,0.740191328
6.0951,6.93247,1.137384128,591.602,0.45062,0.308821514,40,24,16,16,4,0,1345,2.27E-05,0.693197202
9.17864,11.03089,1.201800049,1145.77,0.60242,0.597959224,44.11764706,35.29411765,5.882352941,11.76470588,2.941176471,0,865,2.84E-05,0.72025289
11.07263,11.39418,1.029040074,1178.61,0.6096,0.620543281,44.11764706,35.29411765,5.882352941,11.76470588,2.941176471,0,865,2.72E-05,0.68498811
9.50667,11.07211,1.164667544,1167.32,0.60696,0.613756742,44.11764706,35.29411765,5.882352941,11.76470588,2.941176471,0,865,2.79E-05,0.703238929
10.87494,11.21563,1.031327989,1161.61,0.60852,0.617172136,44.11764706,35.29411765,5.882352941,11.76470588,2.941176471,0,865,2.79E-05,0.687219342
4.48972,4.82905,1.075579323,498.601,0.46842,0.40045481,49.18032787,39.3442623,3.278688525,6.557377049,1.639344262,0,1081,4.09E-05,1.02308884
4.36379,5.11388,1.171889573,482.873,0.50074,0.372405381,39.47368421,28.94736842,5.263157895,21.05263158,5.263157895,0,609,1.36E-05,0.505664171
8.78636,9.98598,1.136532079,3035.04,0.7058,0.914761777,51.76470588,37.64705882,4.705882353,0,2.941176471,0.588235294,897,1.29E-05,0.580285453
8.69532,10.40349,1.196447054,1497.19,0.64902,0.709970235,48.68421053,27.63157895,3.947368421,15.78947368,3.947368421,0,637,4.47E-06,0.216527263
7.79614,8.64297,1.108621703,1258.11,0.5941,0.579937916,48.27586207,29.88505747,4.597701149,13.79310345,3.448275862,0,697,5.03E-06,0.245792091
6.10595,6.92762,1.13456874,990.715,0.59186,0.411511132,42.10526316,5.263157895,0,26.31578947,5.263157895,21.05263158,721,9.87E-06,0.432941865
4.44244,5.09322,1.146491568,298.797,0.40752,0.271714417,44.51612903,32.90322581,2.580645161,15.48387097,4.516129032,0,1393,1.02E-05,0.368641973
4.98752,7.28969,1.461586119,2840.95,0.69504,0.833652182,53.57142857,17.85714286,3.571428571,21.42857143,3.571428571,0,601,1.44E-05,0.673780648
5.88473,7.80429,1.326193385,2788.93,0.70156,0.876048765,53.57142857,17.85714286,3.571428571,21.42857143,3.571428571,0,601,1.22E-05,0.576662158
10.2051,14.4419,1.415164967,4586.09,0.83078,1.873366571,53.16455696,27.84810127,0,15.18987342,3.797468354,0,993,6.44E-06,0.315791637
6.75838,13.85309,2.049764884,3830.71,0.7851,1.382284017,53.84615385,26.92307692,0,15.38461538,3.846153846,0,505,8.01E-06,0.398351821
7.08849,11.39005,1.606837281,4068.51,0.7795,1.333230711,53.84615385,26.92307692,0,15.38461538,3.846153846,0,673,9.19E-06,0.447532668
4.07573,5.65344,1.387098753,1048.47,0.62164,0.617153296,51.61290323,19.35483871,0,25.80645161,3.225806452,0,469,2.60E-05,1.043702566
11.06312,12.00094,1.084769938,1005.54,0.5942,0.615459829,49.18032787,29.50819672,3.278688525,6.557377049,1.639344262,9.836065574,1009,0.000082457,1.019592578
4.06272,5.40727,1.330948232,784.952,0.50734,0.38716127,37.20930233,32.55813953,18.60465116,6.976744186,2.325581395,0,577,3.70E-05,1.167197866
3.80274,4.93858,1.298689892,452.178,0.48374,0.323396688,37.93103448,31.03448276,18.3908046,6.896551724,3.448275862,0,1249,2.04E-05,0.65629023
14.09199,24.7893,1.759105705,5269.79,0.89054,2.986244777,58.06451613,12.90322581,0,25.80645161,3.225806452,0,193,5.69E-06,0.279272498
5.37606,5.6853,1.057521679,1400.16,0.60772,0.564863785,47.61904762,9.523809524,0,38.0952381,4.761904762,0,649,1.43E-05,0.630592135
5.13016,6.30636,1.229271602,1373.06,0.6208,0.564071345,47.61904762,9.523809524,0,38.0952381,4.761904762,0,649,1.56E-05,0.672320961
6.30843,7.60741,1.205911772,2136.66,0.66196,0.76818991,53.33333333,31.11111111,4.444444444,8.888888889,2.222222222,0,1633,1.30E-05,0.591680806
5.459,8.64919,1.584390914,1106.56,0.5586,0.597752169,47.32394366,40,1.690140845,10.14084507,0.845070423,0,777,6.73E-06,0.307516935
9.80847,15.56875,1.587276099,1601.48,0.71824,0.924093938,34.50980392,28.23529412,31.37254902,0,4.705882353,1.176470588,417,1.65E-05,0.686951037
7.44821,15.46142,2.075857152,1017.49,0.65072,0.561086441,37.27598566,25.80645161,22.9390681,0,12.90322581,1.075268817,545,1.70E-05,0.639720988
9.65924,15.5822,1.6131911,1588.27,0.7159,0.908175226,41.55844156,20.77922078,31.16883117,0,5.194805195,1.298701299,577,1.55E-05,0.656379784
6.23259,15.65949,2.512517268,1088.92,0.64664,0.56485469,41.2371134,24.74226804,16.49484536,4.12371134,12.37113402,1.030927835,673,1.62E-05,0.605456949
9.82464,15.83521,1.611785266,1663.24,0.72366,0.965773663,41.55844156,20.77922078,31.16883117,0,5.194805195,1.298701299,577,1.30E-05,0.574126111
5.59471,9.38154,1.676859033,1632.18,0.68288,0.65523561,37.87878788,22.72727273,15.15151515,15.15151515,9.090909091,0,631,5.46E-06,0.265180177
10.59979,11.41407,1.07682039,1239.07,0.64844,0.540497287,44.44444444,11.11111111,0,33.33333333,11.11111111,0,1009,5.40E-06,0.26434356
10.7235,11.51533,1.07384063,1239.1,0.65144,0.543410077,44.44444444,11.11111111,0,33.33333333,11.11111111,0,1009,5.50E-06,0.267700687
5.62446,9.38408,1.668441059,1645.73,0.68264,0.656649801,37.87878788,22.72727273,15.15151515,15.15151515,9.090909091,0,631,5.45E-06,0.264237646
10.54479,11.3608,1.077385135,1239.59,0.64786,0.5401399,44.44444444,11.11111111,0,33.33333333,11.11111111,0,1009,5.30E-06,0.260189177
5.3868,5.98273,1.110627831,1825.78,0.6472,0.547657731,46.15384615,19.23076923,5.769230769,23.07692308,5.769230769,0,609,1.24E-05,0.579309587
8.62816,8.89536,1.030968364,2010.8,0.68672,0.819724379,40,32,24,0,4,0,385,1.19E-05,0.576813025
6.98768,7.45121,1.066335322,1648.25,0.64758,0.685021204,40,32,24,0,4,0,577,1.47E-05,0.672496177
5.04419,5.6675,1.123569889,775.814,0.56556,0.483880903,40,32,24,0,4,0,577,1.91E-05,0.696065376
3.95176,6.01834,1.522951799,992.855,0.5848,0.505764225,42.85714286,14.28571429,0,28.57142857,7.142857143,0,961,1.49E-05,0.604487461
4.30595,6.18036,1.435306959,1044.18,0.58002,0.495756301,46.47887324,33.8028169,0,16.90140845,2.816901408,0,505,5.15E-05,1.539387155
5.15676,8.28593,1.606809314,2392.11,0.68804,0.803629203,46.47887324,33.8028169,0,16.90140845,2.816901408,0,505,1.23E-05,0.565724857
5.0837,6.42024,1.262906938,470.525,0.45748,0.257256931,43.47826087,8.695652174,0,39.13043478,8.695652174,0,865,1.09E-05,0.400222615
4.61254,5.76705,1.2502981,719.64,0.51364,0.337698882,45.45454545,25,4.545454545,20.45454545,4.545454545,0,697,1.47E-05,0.604067554
7.73483,9.7655,1.262535828,2432.48,0.6857,0.942650502,52.63157895,33.91812865,4.678362573,7.01754386,1.754385965,0,977,0.000015002,0.650457614
7.27061,12.53569,1.724159321,2689.4,0.71196,1.078766501,52.63157895,33.91812865,4.678362573,7.01754386,1.754385965,0,977,1.13E-05,0.529814316
7.22634,12.40052,1.716016683,2664.77,0.70856,1.06380008,52.63157895,33.91812865,4.678362573,7.01754386,1.754385965,0,977,1.14E-05,0.532444576
