PLD,LCD,LCD/PLD,ASA,Porosity,PV,C%,H%,N%,O%,Metal%,Halogen%,TDU,KCH4,NCH4 0.1 Bar (mol/kg)
4.48972,4.82905,1.08,498.601,0.46842,0.40045481,49.18032787,39.3442623,3.278688525,6.557377049,1.639344262,0,1081.00,4.09463E-05,0.187607652
4.36379,5.11388,1.17,482.873,0.50074,0.372405381,39.47368421,28.94736842,5.263157895,21.05263158,5.263157895,0,609.00,1.35654E-05,0.06582527
8.78636,9.98598,1.14,3035.04,0.7058,0.914761777,51.76470588,37.64705882,4.705882353,0,2.941176471,0.588235294,897.00,1.28852E-05,0.063830771
8.69532,10.40349,1.20,1497.19,0.64902,0.709970235,48.68421053,27.63157895,3.947368421,15.78947368,3.947368421,0,637.00,4.46994E-06,0.022268963
7.79614,8.64297,1.11,1258.11,0.5941,0.579937916,48.27586207,29.88505747,4.597701149,13.79310345,3.448275862,0,697.00,5.03393E-06,0.025066667
6.10595,6.92762,1.13,990.715,0.59186,0.411511132,42.10526316,5.263157895,0,26.31578947,5.263157895,21.05263158,721.00,9.87384E-06,0.048654755
4.44244,5.09322,1.15,298.797,0.40752,0.271714417,44.51612903,32.90322581,2.580645161,15.48387097,4.516129032,0,1393.00,1.01949E-05,0.048937255
4.98752,7.28969,1.46,2840.95,0.69504,0.833652182,53.57142857,17.85714286,3.571428571,21.42857143,3.571428571,0,601.00,1.43782E-05,0.071367032
5.88473,7.80429,1.33,2788.93,0.70156,0.876048765,53.57142857,17.85714286,3.571428571,21.42857143,3.571428571,0,601.00,1.22028E-05,0.061123127
10.2051,14.4419,1.42,4586.09,0.83078,1.873366571,53.16455696,27.84810127,0,15.18987342,3.797468354,0,993.00,6.44289E-06,0.032224815
6.75838,13.85309,2.05,3830.71,0.7851,1.382284017,53.84615385,26.92307692,0,15.38461538,3.846153846,0,505.00,8.00667E-06,0.039914731
7.08849,11.39005,1.61,4068.51,0.7795,1.333230711,53.84615385,26.92307692,0,15.38461538,3.846153846,0,673.00,9.19093E-06,0.046012662
4.07573,5.65344,1.39,1048.47,0.62164,0.617153296,51.61290323,19.35483871,0,25.80645161,3.225806452,0,469.00,2.59507E-05,0.126693433
11.06312,12.00094,1.08,1005.54,0.5942,0.615459829,49.18032787,29.50819672,3.278688525,6.557377049,1.639344262,9.836065574,1009.00,0.000082457,0.307775959
4.06272,5.40727,1.33,784.952,0.50734,0.38716127,37.20930233,32.55813953,18.60465116,6.976744186,2.325581395,0,577.00,3.70184E-05,0.177476009
3.80274,4.93858,1.30,452.178,0.48374,0.323396688,37.93103448,31.03448276,18.3908046,6.896551724,3.448275862,0,1249.00,2.04497E-05,0.097412964
14.09199,24.7893,1.76,5269.79,0.89054,2.986244777,58.06451613,12.90322581,0,25.80645161,3.225806452,0,193.00,5.68563E-06,0.028709652
5.37606,5.6853,1.06,1400.16,0.60772,0.564863785,47.61904762,9.523809524,0,38.0952381,4.761904762,0,649.00,1.42514E-05,0.070849353
5.13016,6.30636,1.23,1373.06,0.6208,0.564071345,47.61904762,9.523809524,0,38.0952381,4.761904762,0,649.00,1.55785E-05,0.076953216
6.30843,7.60741,1.21,2136.66,0.66196,0.76818991,53.33333333,31.11111111,4.444444444,8.888888889,2.222222222,0,1633.00,1.30235E-05,0.06409565
5.459,8.64919,1.58,1106.56,0.5586,0.597752169,47.32394366,40,1.690140845,10.14084507,0.845070423,0,777.00,6.73499E-06,0.033399732
9.80847,15.56875,1.59,1601.48,0.71824,0.924093938,34.50980392,28.23529412,31.37254902,0,4.705882353,1.176470588,417.00,1.65115E-05,0.081095508
7.44821,15.46142,2.08,1017.49,0.65072,0.561086441,37.27598566,25.80645161,22.9390681,0,12.90322581,1.075268817,545.00,1.69671E-05,0.083979201
9.65924,15.5822,1.61,1588.27,0.7159,0.908175226,41.55844156,20.77922078,31.16883117,0,5.194805195,1.298701299,577.00,1.55093E-05,0.076263004
6.23259,15.65949,2.51,1088.92,0.64664,0.56485469,41.2371134,24.74226804,16.49484536,4.12371134,12.37113402,1.030927835,673.00,1.62495E-05,0.080350559
9.82464,15.83521,1.61,1663.24,0.72366,0.965773663,41.55844156,20.77922078,31.16883117,0,5.194805195,1.298701299,577.00,1.30481E-05,0.06430399
5.59471,9.38154,1.68,1632.18,0.68288,0.65523561,37.87878788,22.72727273,15.15151515,15.15151515,9.090909091,0,631.00,5.45748E-06,0.027306656
